stockcode,description,revenue,quantity,orders,customers,average_price,revenue_share
23312,VINTAGE CHRISTMAS GIFT SACK,5964.150000000001,1423,214,168,4.191250878425861,0.02912661326445162
22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,5959.53,1016,383,164,5.865679133858268,0.029104050962483727
23535,WALL ART BICYCLE SAFETY,5954.15,845,173,102,7.046331360946745,0.029077777113005975
22491,PACK OF 12 COLOURED PENCILS,5950.0,7423,390,264,0.8015627104944093,0.029057510110156035
23052,RECYCLED ACAPULCO MAT TURQUOISE,5949.34,654,278,147,9.0968501529052,0.029054286924160625
22348,TEA BAG PLATE RED SPOTTY,5934.19,7126,465,214,0.8327518944709514,0.02898030015472048
22827,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,5910.0,38,29,24,155.52631578947367,0.028862165504373472
22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,5884.92,4353,313,105,1.351922811853894,0.028739684436547806
21407,BROWN CHECK CAT DOORSTOP,5883.33,1294,453,231,4.5466228748068005,0.028731919488467955
21561,DINOSAUR LUNCH BOX WITH CUTLERY,5874.01,2399,409,208,2.4485243851604834,0.028686404195320616
23113,PANTRY CHOPPING BOARD,5868.5,1154,57,39,5.085355285961872,0.02865949547587407
22971,QUEENS GUARD COFFEE MUG,5849.29,2431,272,164,2.406125051419169,0.028565681228946992
23485,BOTANICAL GARDENS WALL CLOCK,5843.92,262,83,70,22.305038167938932,0.028539456215620686
23154,SET OF 4 JAM JAR MAGNETS,5842.88,2701,235,141,2.1632284339133654,0.02853437725587034
22737,RIBBON REEL CHRISTMAS PRESENT,5840.43,3266,493,300,1.7882516840171465,0.028522412398766156
22660,DOORMAT I LOVE LONDON,5839.41,881,194,96,6.628161180476731,0.0285174311113187
21832,CHOCOLATE CALCULATOR,5836.76,3338,459,204,1.7485799880167765,0.028504489531185603
21988,PACK OF 6 SKULL PAPER PLATES,5820.099999999999,7829,416,209,0.7434027334270021,0.028423128502877166
85132C,CHARLIE AND LOLA FIGURES TINS,5818.94,2062,302,144,2.8219883608147427,0.02841746350930947
22841,ROUND CAKE TIN VINTAGE GREEN,5811.87,745,302,215,7.801167785234899,0.028382936350237406
85038,6 CHOCOLATE LOVE HEART T-LIGHTS,5803.58,2778,382,191,2.089121670266379,0.02834245118068897
22687,DOORMAT CHRISTMAS VILLAGE,5784.67,895,149,97,6.46331843575419,0.028250102018305266
21313,GLASS HEART T-LIGHT HOLDER,5771.11,6711,415,173,0.8599478468186559,0.028183880196944976
22964,3 PIECE SPACEBOY COOKIE CUTTER SET,5768.830000000001,2761,408,228,2.0893987685621154,0.028172745554415374
22200,FRYING PAN PINK POLKADOT,5750.95,1289,354,119,4.46155934833204,0.028085426515630563
21498,RED RETROSPOT WRAP,5736.42,14051,440,300,0.40825706355419544,0.02801446758758005
37495,FAIRY CAKE BIRTHDAY CANDLE SET,5732.6,1560,330,206,3.67474358974359,0.027995812177727817
21452,TOADSTOOL MONEY BOX,5731.330000000001,1875,408,228,3.056709333333334,0.027989609986494225
22441,GROW YOUR OWN BASIL IN ENAMEL MUG,5729.570000000001,2644,472,295,2.1670083207261728,0.027981014823839787
22241,GARLAND WOODEN HAPPY EASTER,5728.53,4244,463,234,1.3497950047125353,0.027975935864089436
21577,SAVE THE PLANET COTTON TOTE BAG,5716.5199999999995,2556,464,241,2.2365101721439746,0.027917283646203224
22341,LOVE GARLAND PAINTED ZINC,5698.889999999999,3467,240,128,1.6437525237957886,0.027831185511204556
22115,METAL SIGN EMPIRE TEA,5695.1,2889,500,244,1.971304949809623,0.02781267660980667
22060,LARGE CAKE STAND HANGING HEARTS,5691.41,733,158,112,7.764542974079126,0.02779465606992322
21528,DAIRY MAID TRADITIONAL TEAPOT,5680.15,899,257,145,6.31829810901001,0.027739666563395427
20676,RED SPOTTY BOWL,5660.1900000000005,4629,422,212,1.2227673363577447,0.027642189605109935
22045,SPACEBOY GIFT WRAP,5656.14,13767,446,279,0.4108476792329484,0.027622410963774453
21703,BAG 125g SWIRLY MARBLES,5646.47,14577,561,293,0.3873547369143171,0.027575186405326517
22335,HEART DECORATION PAINTED ZINC,5644.77,8666,510,242,0.6513697207477499,0.027566884259580753
22854,CREAM SWEETHEART EGG HOLDER,5624.5,1160,244,169,4.848706896551724,0.02746789338060044
22653,BUTTON BOX,5618.21,3031,381,156,1.8535829759155393,0.02743717544134113
84968B,S/16 VINTAGE IVORY CUTLERY,5617.66,423,130,49,13.280520094562647,0.027434489453011624
22073,RED RETROSPOT STORAGE JAR,5604.6,1395,319,173,4.0176344086021505,0.02737070943922362
21207,SKULL AND CROSSBONES  GARLAND,5597.42,3601,282,167,1.554407109136351,0.02733564508248565
84997A,GREEN 3 PIECE POLKADOT CUTLERY SET,5587.63,1539,165,107,3.6306887589343733,0.027287834490220365
21749,LARGE RED SPOT WINDMILL,5554.92,2945,52,30,1.886220713073005,0.027128091438841675
22119,PEACE WOODEN BLOCK LETTERS,5543.87,896,340,244,6.187354910714285,0.027074127491494245
22899,CHILDREN'S APRON DOLLY GIRL,5542.95,2666,404,236,2.079126031507877,0.027069634565561242
23531,WALL ART BIG LOVE,5538.26,976,112,77,5.674446721311476,0.027046730410533237
22156,HEART DECORATION WITH PEARLS,5537.57,6156,581,259,0.899540285899935,0.02704336071608349
21730,GLASS STAR FROSTED T-LIGHT HOLDER,5534.17,1115,293,155,4.963381165919283,0.02702675642459197
21900,"KEY FOB , SHED",5529.14,8323,835,361,0.6643205574912893,0.027002191840414816
23133,LARGE IVORY HEART WALL ORGANISER,5525.4,782,155,94,7.065728900255754,0.026983927119774143
21242,RED SPOTTY PLATE,5523.2,3350,289,160,1.6487164179104477,0.026973183166456104
23177,TREASURE ISLAND BOOK BOX,5521.29,2532,267,174,2.1806042654028435,0.026963855461529986
23158,SET OF 5 LUCKY CAT MAGNETS,5513.83,2633,255,96,2.0941245727307254,0.02692742369255154
22670,FRENCH WC SIGN BLUE METAL,5510.57,4432,425,218,1.2433596570397112,0.026911503107180258
21955,DOOR MAT UNION JACK GUNS AND ROSES,5510.39,797,226,114,6.913914680050189,0.02691062405645424
23583,LUNCH BAG PAISLEY PARK,5497.33,3385,325,233,1.62402658788774,0.026846844042666233
84971S,SMALL HEART FLOWERS HOOK,5493.3099999999995,6489,459,180,0.8465572507320079,0.026827211909785084
40016,CHINESE DRAGON PAPER LANTERNS,5487.3099999999995,15435,244,133,0.3555108519598315,0.026797910218917698
82599,FANNY'S REST STOPMETAL SIGN,5479.4400000000005,2505,506,185,2.1874011976047907,0.026759476167729987
79029,GLASS HONEYPOT WASP CATCHER,5473.82,2944,343,201,1.8593138586956521,0.02673203025061753
22203,MILK PAN RED RETROSPOT,5469.51,1402,392,166,3.901219686162625,0.02671098186934446
85232B,SET OF 3 BABUSHKA STACKING TINS,5465.39,1093,168,94,5.000356816102471,0.026690861374948856
72756,FAIRY CAKE CANDLES,5459.48,4012,129,114,1.3607876370887337,0.026661999209444478
22437,SET OF 9 BLACK SKULL BALLOONS,5457.97,6514,443,258,0.8378830211851397,0.026654624950576192
85061W,WHITE JEWELLED HEART DECORATION,5451.49,6306,469,201,0.8644925467808436,0.026622979124439415
22168,ORGANISER WOOD ANTIQUE WHITE,5450.43,656,310,249,8.30858231707317,0.02661780249238618
20677,PINK POLKADOT BOWL,5449.13,4208,412,163,1.2949453422053232,0.026611453792698244
84509A,SET OF 4 ENGLISH ROSE PLACEMATS,5442.61,1406,372,167,3.8709886201991464,0.026579612621955687
22483,RED GINGHAM TEDDY BEAR,5440.51,1877,349,223,2.8985135855087907,0.02656935703015211
20978,36 PENCILS TUBE SKULLS,5438.57,4117,557,253,1.3210031576390575,0.02655988281677165
21432,SET OF 3 CASES WOODLAND DESIGN,5435.91,942,237,152,5.770605095541401,0.026546892400487108
16161P,WRAP ENGLISH ROSE,5435.4,13198,440,289,0.41183512653432336,0.02654440175676338
22186,RED STAR CARD HOLDER,5431.400000000001,2004,345,234,2.710279441117765,0.02652486729618513
22763,KEY CABINET MA CAMPAGNE,5430.59,662,135,95,8.203308157099698,0.02652091156791803
22595,CHRISTMAS GINGHAM HEART,5429.91,6396,383,262,0.8489540337711069,0.026517590709619725
85063,CREAM SWEETHEART MAGAZINE RACK,5426.74,308,180,104,17.619285714285713,0.026502109649611454
21749,LARGE RED RETROSPOT WINDMILL,5426.06,2712,234,133,2.000759587020649,0.026498788791313153
23135,SMALL ZINC HEART WALL ORGANISER,5416.18,1541,45,31,3.5147177157689815,0.02645053867368486
23205,CHARLOTTE BAG VINTAGE ALPHABET,5405.88,5457,445,192,0.9906322155030236,0.026400237437695852
21069,VINTAGE BILLBOARD TEA MUG,5404.360000000001,5099,279,110,1.059886252206315,0.026392814342676117
84937,KASHMIR FOLKART TUMBLERS,5394.54,2542,124,50,2.1221636506687647,0.026344857241956492
22534,MAGIC DRAWING SLATE SPACEBOY,5393.83,12603,577,349,0.4279798460683964,0.026341389875203854
22443,GROW YOUR OWN HERBS SET OF 3,5393.43,683,264,193,7.896676427525622,0.02633943642914603
20682,RED RETROSPOT CHILDRENS UMBRELLA,5380.2699999999995,1585,342,190,3.3944921135646684,0.026275168053843563
22333,RETRO SPORT PARTY BAG + STICKER SET,5370.08,3444,254,159,1.5592566782810684,0.026225404015520457
21491,SET OF THREE VINTAGE GIFT WRAPS,5367.009999999999,2878,248,184,1.8648401667824877,0.026210411317026644
22218,CAKE STAND LACE WHITE,5365.66,1232,264,143,4.3552435064935064,0.026203818436581486
22350,ILLUSTRATED CAT BOWL,5362.2,1894,210,107,2.8311510031678986,0.026186921128181294
23494,VINTAGE DOILY DELUXE SEWING KIT,5354.01,809,205,145,6.618059332509271,0.026146924320147313
35832,WOOLLY HAT SOCK GLOVE ADVENT STRING,5341.85,1737,188,132,3.0753310305123778,0.02608753955998942
21041,RED RETROSPOT OVEN GLOVE DOUBLE,5334.06,1382,352,141,3.8596671490593346,0.026049496198013264
37446,MINI CAKE STAND WITH HANGING CAKES,5332.25,3691,410,168,1.4446626930371174,0.0260406568546016
22951,60 CAKE CASES DOLLY GIRL DESIGN,5314.12,10050,609,328,0.5287681592039801,0.025952116912030653
21363,HOME SMALL WOOD LETTERS,5296.4800000000005,984,401,224,5.38260162601626,0.025865969940880546
21155,RED SPOTTY PEG BAG,5282.89,2662,364,179,1.9845567242674682,0.025799601611065922
20975,12 PENCILS SMALL TUBE RED SPOTTY,5278.03,8219,367,220,0.6421742304416596,0.025775867241463336
22801,ANTIQUE GLASS PEDESTAL BOWL,5277.95,1300,299,173,4.059961538461538,0.025775476552251774
22998,TRAVEL CARD WALLET KEEP CALM,5262.82,12366,534,217,0.42558790231279314,0.025701587455114517
21718,RED METAL BEACH SPADE,5250.3,4030,467,223,1.3028039702233252,0.025640444593504577
22564,ALPHABET STENCIL CRAFT,5221.4,4570,343,208,1.1425382932166301,0.025499308115826676
22476,EMPIRE UNION JACK TV DINNER TRAY,5218.61,1332,269,145,3.9178753753753752,0.02548568282957334
21993,FLORAL FOLK STATIONERY SET,5216.88,2849,577,208,1.831126711126711,0.02547723417537325
22117,METAL SIGN HER DINNER IS SERVED,5207.7300000000005,1765,230,142,2.9505552407932014,0.025432549096800487
22691,DOORMAT WELCOME SUNRISE,5198.6,758,218,124,6.858311345646438,0.02538796169053062
22030,SWALLOWS GREETING CARD,5197.84,12735,685,353,0.40815390655673345,0.025384250143020745
21587,COSY HOUR GIANT TUBE MATCHES,5173.05,2071,260,207,2.4978512795750847,0.025263185323587005
22180,RETRO SPOT LAMP,5164.42,511,196,127,10.106497064579257,0.02522103972488942
21872,GLAMOROUS  MUG,5163.8,5092,330,169,1.0141005498821682,0.02521801188349979
22894,TABLECLOTH RED APPLES DESIGN,5160.78,561,192,125,9.199251336898396,0.0252032633657632
22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,5160.03,3609,283,98,1.4297672485453032,0.02519960065440478
85132A,CHARLIE + LOLA BISCUITS TINS,5152.07,1348,250,98,3.8220103857566765,0.025160727077854054
23263,SET OF 3 WOODEN HEART DECORATIONS,5147.19,3863,445,269,1.3324333419622054,0.02513689503594858
21713,CITRONELLA CANDLE FLOWERPOT,5145.4400000000005,2733,391,232,1.882707647274058,0.025128348709445594
23162,REGENCY TEA STRAINER,5143.6900000000005,1412,176,96,3.6428399433427767,0.025119802382942605
23157,SET OF 6 NATIVITY MAGNETS,5143.06,2557,163,111,2.0113648807195936,0.025116725705401535
23165,LARGE CERAMIC TOP STORAGE JAR,5141.0599999999995,3114,280,167,1.650950545921644,0.025106958475112403
22412,METAL SIGN NEIGHBOURHOOD WITCH,5140.820000000001,2401,402,166,2.1411162015826743,0.025105786407477713
23132,SMALL IVORY HEART WALL ORGANISER,5138.6,1020,152,115,5.037843137254902,0.025094944781856775
22571,ROCKING HORSE RED CHRISTMAS,5135.24,5780,511,294,0.8884498269896194,0.025078535834971036
22426,ENAMEL WASH BOWL CREAM,5133.3,1333,372,182,3.8509377344336087,0.025069061621590585
22472,TV DINNER TRAY DOLLY GIRL,5130.62,1093,249,130,4.694071363220494,0.025055973533003154
22509,SEWING BOX RETROSPOT DESIGN,5130.36,387,187,142,13.256744186046511,0.025054703793065562
22244,3 HOOK HANGER MAGIC GARDEN,5122.759999999999,2732,223,89,1.8750951683748167,0.025017588317966875
21498,RED SPOTS  WRAP,5115.5,12675,362,263,0.4035897435897436,0.024982133272017346
22595,GINGHAM HEART DECORATION,5114.41,6139,413,251,0.8331014823261117,0.024976810131509767
22610,PENS ASSORTED FUNNY FACE,5107.54,12680,287,157,0.4028028391167192,0.024943259695466614
22374,AIRLINE BAG VINTAGE JET SET RED,5099.84,1023,430,226,4.985180840664712,0.024905655858853473
23397,FOOT STOOL HOME SWEET HOME,5097.65,489,217,139,10.424642126789365,0.024894960741686876
21471,STRAWBERRY RAFFIA FOOD COVER,5095.63,1406,319,165,3.624203413940256,0.02488509583909486
22433,WATERING CAN GREEN DINOSAUR,5080.98,2724,417,207,1.8652643171806165,0.024813550877226993
23234,BISCUIT TIN VINTAGE CHRISTMAS,5079.78,1722,277,201,2.94993031358885,0.024807690539053517
22842,BISCUIT TIN VINTAGE RED,5078.03,781,230,177,6.501959026888604,0.024799144212550528
23295,SET OF 12 MINI LOAF BAKING CASES,5073.45,6134,444,250,0.8271030322791001,0.024776777255188426
20977,36 PENCILS TUBE WOODLAND,5069.99,3792,485,242,1.3370226793248945,0.024759879946788233
21578,WOODLAND DESIGN  COTTON TOTE BAG,5062.86,2205,380,184,2.296081632653061,0.024725059770807495
23198,PANTRY MAGNETIC  SHOPPING LIST,5062.599999999999,3342,475,259,1.5148414123279472,0.024723790030869903
23126,FELTCRAFT GIRL AMELIE KIT,5059.14,1007,275,187,5.023972194637538,0.024706892722469717
21544,SKULLS  WATER TRANSFER TATTOOS,5052.21,6064,503,229,0.8331480870712401,0.02467304926951789
48189,DOORMAT FRIENDSHIP,5050.04,853,95,52,5.920328253223915,0.024662451824654184
22175,PINK OWL SOFT TOY,5033.51,1728,362,160,2.9129108796296297,0.02458172566631454
46000S,POLYESTER FILLER PAD 40x40cm,5032.95,3471,380,240,1.45,0.024578990841833584
22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,5014.650000000001,1775,214,179,2.825154929577465,0.024489620684688063
23314,VINTAGE CHRISTMAS TABLECLOTH,5012.96,407,117,87,12.316855036855037,0.02448136737509375
23109,PACK OF SIX LED TEA LIGHTS,5008.26,1752,203,132,2.858595890410959,0.024458414383914297
84796B,BLUE SAVANNAH PICNIC HAMPER FOR 2,4999.79,600,180,28,8.332983333333333,0.024417050163639844
21071,VINTAGE BILLBOARD DRINK ME MUG,4998.32,4269,472,163,1.1708409463574607,0.024409871249377327
23310,BUBBLEGUM RING ASSORTED,4997.28,12050,245,146,0.4147120331950207,0.024404792289626984
23543,WALL ART KEEP CALM,4994.790000000001,967,83,64,5.165243019648398,0.024392632087917025
22318,FIVE HEART HANGING DECORATION,4983.9800000000005,1583,389,204,3.148439671509792,0.024339840208204285
47568,ENGLISH ROSE DESIGN PEG BAG,4983.02,2384,410,179,2.0901929530201344,0.024335151937665504
21056,DOCTOR'S BAG SOFT TOY,4961.33,545,195,119,9.103357798165138,0.024229226325179907
22583,PACK OF 6 HANDBAG GIFT BOXES,4955.75,1873,349,250,2.6458889482114256,0.02420197575267324
21896,POTTING SHED TWINE,4944.04,2387,290,187,2.0712358609132804,0.024144788619330396
22180,RETROSPOT LAMP,4938.96,464,214,122,10.644310344827586,0.02411997985439601
23556,LANDMARK FRAME COVENT GARDEN,4937.01,436,53,46,11.323417431192661,0.024110456804864108
23570,TRADITIONAL PICK UP STICKS GAME,4931.87,2772,276,203,1.7791738816738816,0.02408535502302105
22604,SET OF 4 NAPKIN CHARMS CUTLERY,4911.72,1999,244,159,2.4570885442721364,0.023986950177858086
22243,"HOOK, 5 HANGER ,MAGIC TOADSTOOL RED",4908.8,3152,175,98,1.5573604060913706,0.023972690021635962
22199,FRYING PAN RED POLKADOT,4890.14,1210,188,90,4.041438016528926,0.023881561763038395
22276,WASH BAG VINTAGE ROSE PAISLEY,4884.860000000001,1889,373,213,2.5859502382212813,0.0238557762750751
23010,CIRCUS PARADE BABY GIFT SET,4879.599999999999,315,111,73,15.490793650793648,0.023830088459414686
22956,36 FOIL HEART CAKE CASES,4878.900000000001,2494,256,189,1.9562550120288695,0.023826669928813497
22632,HAND WARMER RED POLKA DOT,4876.2,2592,46,28,1.8812499999999999,0.023813484167923168
23351,ROLL WRAP 50'S CHRISTMAS,4875.65,3535,354,242,1.379250353606789,0.023810798179593657
23503,PLAYING CARDS KEEP CALM & CARRY ON,4860.55,3643,335,284,1.3342163052429317,0.023737055590910744
22107,PIZZA PLATE IN BOX,4840.59,1240,369,118,3.903701612903226,0.023639578632625245
84270,ASSTD DESIGN BUBBLE GUM RING,4824.3,22936,476,249,0.2103374607603767,0.0235600245419203
22593,CHRISTMAS GINGHAM STAR,4823.9,5420,415,247,0.8900184501845018,0.02355807109586247
22027,TEA PARTY BIRTHDAY CARD,4806.49,11297,845,335,0.42546605293440737,0.02347304735619561
23554,LANDMARK FRAME OXFORD STREET,4805.53,422,57,49,11.387511848341232,0.023468359085656827
22242,"HOOK, 5 HANGER , MAGIC TOADSTOOL",4795.95,2982,258,141,1.6082997987927565,0.023421574052571906
20682,RED SPOTTY CHILDS UMBRELLA,4791.04,1483,247,153,3.2306405933917732,0.023397595502212095
23555,LANDMARK FRAME NOTTING HILL,4780.57,421,50,45,11.355273159144893,0.02334646405164851
21534,DAIRY MAID LARGE MILK JUG,4768.64,938,342,199,5.083837953091685,0.023288202522973863
22442,GROW YOUR OWN FLOWERS SET OF 3,4765.32,866,172,140,5.502678983833718,0.023271988920693907
23184,BULL DOG BOTTLE OPENER,4764.5,874,264,129,5.451372997711671,0.02326798435627537
22128,PARTY CONES CANDY ASSORTED,4759.59,3923,195,143,1.2132526127963295,0.023244005805915558
22688,DOORMAT PEACE ON EARTH BLUE,4756.7,865,93,77,5.49907514450867,0.023229892158147768
21249,WOODLAND  HEIGHT CHART STICKERS,4752.830000000001,1655,258,155,2.8718006042296076,0.023210992567538308
21916,SET 12 RETRO WHITE CHALK STICKS,4751.06,11011,713,304,0.43148306239215334,0.023202348568732427
23286,BLUE VINTAGE SPOT BEAKER,4747.62,5048,222,125,0.9404952456418383,0.023185548932635126
22672,FRENCH BATHROOM SIGN BLUE METAL,4736.11,2850,370,227,1.6617929824561402,0.023129338522321193
22399,MAGNETS PACK OF 4 CHILDHOOD MEMORY,4734.6,4040,277,180,1.171930693069307,0.023121964263452904
22434,BALLOON PUMP WITH 10 BALLOONS,4733.49,2547,281,203,1.858457008244994,0.023116543450642436
84508A,CAMOUFLAGE DESIGN TEDDY,4722.56,2223,64,28,2.1244084570400363,0.02306316553711235
85049G,CHOCOLATE BOX RIBBONS,4718.62,3829,510,288,1.2323374249151213,0.023043924093442768
23569,TRADTIONAL ALPHABET STAMP SET,4717.66,954,192,152,4.945136268343815,0.02303923582290399
22474,SPACEBOY TV DINNER TRAY,4716.83,966,253,143,4.8828467908902695,0.023035182422334
21588,RETROSPOT GIANT TUBE MATCHES,4713.6,2056,182,127,2.292607003891051,0.02301940834541706
23159,SET OF 5 PANCAKE DAY MAGNETS,4713.52,2293,223,121,2.0556127344090713,0.023019017656205495
22305,COFFEE MUG PINK PAISLEY DESIGN,4711.53,2267,144,87,2.0783105425672694,0.02300929926206781
23558,LANDMARK FRAME LONDON BRIDGE,4703.87,415,52,43,11.334626506024096,0.02297189077006045
23389,SPACEBOY MINI BACKPACK,4697.54,1102,233,157,4.2627404718693285,0.02294097748619536
23176,ABC TREASURE BOOK BOX,4693.08,2165,226,159,2.1677043879907623,0.022919196562650603
48197,DOOR MAT BIRD ON THE WIRE,4691.77,667,202,70,7.034137931034484,0.022912799026811228
22304,COFFEE MUG BLUE PAISLEY DESIGN,4689.56,2380,167,98,1.970403361344538,0.022902006237341743
20961,STRAWBERRY BATH SPONGE,4687.65,3530,514,177,1.3279461756373936,0.022892678532415618
22562,MONSTERS STENCIL CRAFT,4682.3,3978,393,251,1.1770487682252389,0.022866551191392206
21156,RED SPOTTY CHILDS APRON,4678.23,2506,296,208,1.8668116520351155,0.022846674877753825
20963,APPLE BATH SPONGE,4676.15,3459,509,168,1.3518791558253829,0.022836516958253134
22721,SET OF 3 CAKE TINS SKETCHBOOK,4671.81,1020,297,183,4.580205882352941,0.02281532206852573
23241,TREASURE TIN GYMKHANA DESIGN,4669.55,2165,363,183,2.156836027713626,0.022804285098299012
22075,6 RIBBONS ELEGANT CHRISTMAS,4660.69,3079,358,201,1.5137025008119518,0.022761016268118172
82581,TOILET METAL SIGN,4649.0,8399,913,371,0.5535182759852363,0.022703926807078223
22348,TEA BAG PLATE RED RETROSPOT,4648.93,5327,496,196,0.8727107189787874,0.022703584954018103
72807B,SET/3 OCEAN SCENT CANDLE JEWEL BOX,4645.87,1059,225,112,4.3870349386213405,0.022688641091675732
21243,PINK  SPOTTY PLATE,4645.09,2864,239,128,1.621888966480447,0.022684831871862977
15044B,BLUE PAPER PARASOL,4644.13,1670,189,97,2.7809161676646705,0.022680143601324195
21042,RED SPOTTY APRON,4638.110000000001,794,204,120,5.841448362720404,0.02265074423815392
22574,HEART WOODEN CHRISTMAS DECORATION,4629.17,5074,415,253,0.9123314938904218,0.022607084718761515
21328,BALLOONS  WRITING SET,4612.63,2441,643,257,1.8896476853748465,0.022526309724270426
20675,BLUE POLKADOT BOWL,4611.89,3616,385,180,1.275412057522124,0.02252269584906345
21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,4586.48,5586,403,225,0.8210669530970282,0.022398603188240072
22800,ANTIQUE TALL SWIRLGLASS TRINKET POT,4586.4,1127,268,149,4.069565217391304,0.02239821249902851
23285,PINK VINTAGE SPOT BEAKER,4572.41,4807,191,108,0.951198252548367,0.02232989072315606
10135,COLOURING PENCILS BROWN TUBE,4566.21,4226,324,178,1.0805040227165168,0.022299612309259764
23404,HOME SWEET HOME BLACKBOARD,4561.76,1011,169,104,4.512126607319486,0.022277880221866456
15044D,RED PAPER PARASOL,4559.650000000001,1596,227,105,2.8569235588972433,0.022267575793911424
51014A,"FEATHER PEN,HOT PINK",4556.5,6671,376,161,0.6830310298306101,0.02225219240620605
22601,CHRISTMAS RETROSPOT ANGEL WOOD,4547.19,5250,417,257,0.8661314285714284,0.02220672594921015
85184D,S/4 BLUE ROUND DECOUPAGE BOXES,4546.78,8311,66,48,0.5470797737937673,0.02220472366700088
22743,MAKE YOUR OWN FLOWERPOWER CARD KIT,4542.500000000001,1502,351,199,3.0243009320905467,0.022183821794182153
37447,CERAMIC CAKE DESIGN SPOTTED PLATE,4540.849999999999,2891,364,141,1.5706848841231407,0.022175763829193618
21614,SET OF 12 ROSE BOTANICAL T-LIGHTS,4538.17,1627,194,123,2.789287031346036,0.022162675740606187
21506,"FANCY FONT BIRTHDAY CARD,",4534.49,10878,665,310,0.41684960470674753,0.022144704036874192
21990,MODERN FLORAL STATIONERY SET,4530.54,2453,497,170,1.846938442723196,0.022125413757053163
21564,PINK  HEART SHAPE LOVE BUCKET,4524.5,1951,294,134,2.3190671450538187,0.022095916721579997
22908,PACK OF 20 NAPKINS RED APPLES,4524.0,5610,485,266,0.8064171122994652,0.02209347491400772
23275,SET OF 3 HANGING OWLS OLLIE BEAK,4521.72,3720,325,171,1.215516129032258,0.02208234027147811
23163,REGENCY SUGAR TONGS,4515.22,1832,209,95,2.4646397379912663,0.022050596773038444
23112,PARISIENNE CURIO CABINET,4507.08,546,241,134,8.254725274725274,0.022010844145761693
22760,"TRAY, BREAKFAST IN BED",4506.889999999999,356,120,82,12.659803370786515,0.022009916258884224
23309,SET OF 60 I LOVE LONDON CAKE CASES,4495.849999999999,8275,407,178,0.5433051359516615,0.021956001147688236
22747,POPPY'S PLAYHOUSE BATHROOM,4487.2,2035,402,241,2.205012285012285,0.021913757876687756
84279P,CHERRY BLOSSOM  DECORATIVE FLASK,4476.67,1145,299,169,3.909755458515284,0.0218623334092155
23167,SMALL CERAMIC TOP STORAGE JAR,4476.01,5847,231,129,0.7655224901658971,0.02185911022322009
22070,SMALL RED RETROSPOT MUG IN BOX,4462.95,1511,236,156,2.953639973527465,0.02179533020943208
84968C,SET OF 16 VINTAGE PISTACHIO CUTLERY,4451.95,375,133,50,11.871866666666666,0.021741610442841876
23288,GREEN VINTAGE SPOT BEAKER,4444.2300000000005,4625,185,107,0.9609145945945947,0.021703908933925844
22736,RIBBON REEL MAKING SNOWMEN,4439.28,2467,403,228,1.7994649371706526,0.02167973503896025
21064,BOOM BOX SPEAKER BOYS,4432.92,884,171,75,5.014615384615385,0.02164867524664082
21864,UNION JACK FLAG PASSPORT COVER,4431.54,1853,411,166,2.391548839719374,0.021641935857741323
22299,PIG KEYRING WITH LIGHT & SOUND,4430.82,3912,202,103,1.132622699386503,0.02163841965483724
79341,WILLOW BRANCH LIGHTS.,4423.69,725,79,49,6.101641379310344,0.021603599478856494
21244,BLUE POLKADOT PLATE,4419.44,2641,241,128,1.6733964407421429,0.0215828441144921
22367,CHILDS APRON SPACEBOY DESIGN,4412.87,2325,310,231,1.8980086021505376,0.021550758762992315
23530,WALL ART ONLY ONE PERSON,4406.57,1050,86,59,4.196733333333333,0.021519991987581557
22548,HEADS AND TAILS SPORTING FUN,4404.31,3526,428,293,1.249095292115712,0.021508955017354846
84031A,CHARLIE+LOLA RED HOT WATER BOTTLE,4404.0199999999995,1098,314,95,4.010947176684881,0.021507538768962917
22573,STAR WOODEN CHRISTMAS DECORATION,4403.83,4907,405,235,0.8974587324230691,0.021506610882085456
21967,PACK OF 12 SKULL TISSUES,4401.44,15652,479,250,0.28120623562484026,0.021494939041889944
21535,RETRO SPOT SMALL MILK JUG,4380.61,1719,297,171,2.5483478766724836,0.021393213338428675
21523,FANCY FONT HOME SWEET HOME DOORMAT,4378.65,663,164,76,6.604298642533936,0.021383641452745333
22594,CHRISTMAS GINGHAM TREE,4377.33,4791,412,232,0.9136568566061365,0.02137719508075451
21810,CHRISTMAS HANGING STAR WITH BELL,4374.41,6959,344,171,0.628597499640753,0.02136293492453238
85053,FRENCH ENAMEL CANDLEHOLDER,4363.28,2032,378,185,2.147283464566929,0.021308580287973382
79320,FLAMINGO LIGHTS,4357.38,904,150,67,4.820110619469027,0.021279766958620456
22896,PEG BAG APPLES DESIGN,4356.2,1689,338,171,2.5791592658377738,0.02127400429274987
84598,BOYS ALPHABET IRON ON PATCHES,4350.14,20775,217,30,0.2093930204572804,0.021244409584973815
20677,PINK SPOTTY BOWL,4348.93,3566,348,161,1.2195541222658441,0.02123850041064889
