stockcode,description,revenue,sold_quantity,orders,customers,returned_quantity,return_value,return_rate,return_value_rate
22142,CHRISTMAS CRAFT WHITE FAIRY,5741.94,4090,429,336,18.0,26.099999999999998,0.4400977995110024,0.4545502042863562
22143,CHRISTMAS CRAFT HEART DECORATIONS,834.0,420,53,51,12.0,25.2,2.857142857142857,3.0215827338129495
22144,CHRISTMAS CRAFT LITTLE FRIENDS,8790.7,4289,535,392,47.0,98.7,1.0958265329913734,1.1227774807466981
22145,CHRISTMAS CRAFT HEART STOCKING,2566.0,1260,169,153,6.0,12.600000000000001,0.4761904761904762,0.4910366328916603
22146,EASTER CRAFT IVY WREATH WITH CHICK,2342.85,1343,99,93,46.0,77.7,3.4251675353685775,3.3164735258339206
22147,FELTCRAFT BUTTERFLY HEARTS,17238.05,12605,1026,582,904.0,1142.8000000000002,7.171757239190797,6.629520160342964
22148,EASTER CRAFT 4 CHICKS,5430.3,2994,243,209,52.0,101.4,1.736806947227789,1.8673001491630297
22149,FELTCRAFT 6 FLOWER FRIENDS,24248.29,12174,1189,684,664.0,1244.4,5.454246755380319,5.131908270645065
22150,3 STRIPEY MICE FELTCRAFT,13756.75,7633,829,505,764.0,1264.8,10.009170706144372,9.19403202064441
22151,PLACE SETTING WHITE HEART,10910.31,27085,645,361,915.0,332.46000000000004,3.3782536459294814,3.047209474341243
22152,PLACE SETTING WHITE STAR,2493.11,6129,219,154,11.0,4.62,0.17947462881383588,0.1853107163342171
22153,ANGEL DECORATION STARS ON DRESS,2243.2200000000003,5389,191,136,166.0,69.72000000000001,3.080348858786417,3.1080322037071713
22154,ANGEL DECORATION 3 BUTTONS,2816.16,6808,227,163,204.0,85.68000000000002,2.9964747356051706,3.042440770410773
22155,STAR DECORATION RUSTIC,2304.54,5487,221,165,53.0,22.26,0.9659194459631857,0.9659194459631858
22156,HEART DECORATION WITH PEARLS,4816.42,5717,414,259,217.0,183.41,3.7956970439041458,3.8080150817412104
22157,ANGEL DECORATION WITH LACE PADDED,1420.35,1671,112,88,96.0,81.6,5.745062836624776,5.745062836624776
22158,3 HEARTS HANGING DECORATION RUSTIC,22471.86,7982,646,374,82.0,239.89999999999998,1.0273114507642196,1.0675573806529588
22161,HEART DECORATION RUSTIC HANGING,1590.98,5388,219,156,88.0,28.880000000000003,1.6332590942835932,1.8152333781694303
22162,HEART GARLAND RUSTIC PADDED,2671.15,925,133,92,12.0,35.400000000000006,1.2972972972972971,1.3252718866405857
22163,HEART STRING MEMO HOLDER HANGING,1569.19,961,104,86,79.0,179.05,8.220603537981269,11.410345464857667
22164,STRING OF STARS CARD HOLDER,812.2500000000001,303,42,40,1.0,2.95,0.33003300330033003,0.3631886734379809
22165,"DIAMANTE HEART SHAPED WALL MIRROR,",5020.41,783,127,82,9.0,89.25,1.1494252873563218,1.7777432520451517
22166,"WALL MIRROR , RECT DIAMANTE, PINK/",1100.91,177,21,16,8.0,63.6,4.519774011299435,5.777038995013216
22166,WALL MIRROR RECTANGLE DIAMANTE PINK,521.7,126,20,16,8.0,63.6,6.349206349206349,12.190914318573892
22167,OVAL WALL MIRROR DIAMANTE,1239.05,139,67,46,25.0,248.75,17.985611510791365,20.07586457366531
22167,"WALL MIRROR , DIAMANTE OVAL SHAPE",2591.85,387,99,65,25.0,248.75,6.459948320413436,9.597391824372552
22168,ORGANISER WOOD ANTIQUE WHITE,5323.8,642,302,249,45.0,381.65,7.009345794392523,7.168751643562868
22168,"ORGANISER WOOD, ANTIQUE WHITE",25.5,3,2,2,45.0,381.65,1500.0,1496.6666666666665
22169,FAMILY ALBUM WHITE PICTURE FRAME,16676.94,2094,570,276,93.0,741.1999999999999,4.441260744985674,4.44446043458812
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,14658.65,2309,510,279,90.0,581.9000000000001,3.8977912516240796,3.9696697854168024
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,21458.42,2999,544,269,154.0,1212.1,5.1350450150050015,5.6485985454660685
22172,METAL SHELF WITH RAIL,2839.0,339,156,124,4.0,34.0,1.1799410029498525,1.1976047904191618
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,12846.140000000001,4538,714,383,146.0,399.71999999999997,3.217276333186426,3.1115961681874857
22174,PHOTO CUBE,6011.24,3928,303,178,48.0,79.2,1.2219959266802443,1.3175318237169038
22175,PINK OWL DECORATION,244.8,96,1,1,8.0,23.6,8.333333333333332,9.640522875816995
22175,PINK OWL SOFT TOY,4622.68,1654,295,160,8.0,23.6,0.48367593712212814,0.510526361331522
22176,BLUE OWL DECORATION,244.8,96,1,1,9.0,26.55,9.375,10.845588235294118
22176,BLUE OWL SOFT TOY,2968.05,1027,216,124,9.0,26.55,0.8763388510223954,0.8945267094557032
22177,5 HOOK BLACKBOARD ORGANISER,2579.64,300,102,90,25.0,227.0,8.333333333333332,8.79967747437627
22178,VICTORIAN GLASS HANGING T-LIGHT,45746.75,37285,1442,593,1008.0,1262.94,2.7035000670510927,2.760720706935466
22179,SET 10 LIGHTS NIGHT OWL,8990.8,1400,300,165,35.0,217.85000000000002,2.5,2.423032433153891
22179,SET 10 NIGHT OWL LIGHTS,2510.34,388,101,59,35.0,217.85000000000002,9.02061855670103,8.678107348008638
22180,RETRO SPOT LAMP,4718.9,490,177,127,49.0,483.19999999999993,10.0,10.239674500413232
22180,RETROSPOT LAMP,4149.2,424,181,122,49.0,483.19999999999993,11.556603773584905,11.64561843246891
22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,1212.33,1485,104,85,42.0,35.699999999999996,2.8282828282828283,2.944742768058202
22182,CAKE STAND VICTORIAN FILIGREE SMALL,1229.05,359,65,58,4.0,19.8,1.1142061281337048,1.6110003661364471
22183,CAKE STAND VICTORIAN FILIGREE MED,1438.05,282,63,58,9.0,56.2,3.1914893617021276,3.908069955842982
22184,CAKE STAND VICTORIAN FILIGREE LARGE,1609.2,268,71,60,18.0,134.8,6.7164179104477615,8.376833209047975
22185,SLATE TILE NATURAL HANGING,5723.6,3738,375,298,4.0,6.6,0.1070090957731407,0.11531204137256269
22186,RED STAR CARD HOLDER,4840.84,1904,284,234,70.0,182.3,3.6764705882352944,3.765875343948571
22187,GREEN CHRISTMAS TREE CARD HOLDER,5838.0199999999995,1982,290,230,49.0,191.45,2.4722502522704337,3.2793652642505506
22188,BLACK HEART CARD HOLDER,27324.45,10255,487,292,5.0,19.75,0.04875670404680643,0.07227958842721445
22189,CREAM HEART CARD HOLDER,47414.200000000004,15946,1129,536,43.0,168.72999999999996,0.269660102847109,0.35586385513200675
22190,LOCAL CAFE MUG,1935.93,1164,124,88,1.0,2.1,0.0859106529209622,0.1084749965133037
22191,EAU DE NIL DINER WALL CLOCK,2033.2,244,116,91,350.0,2703.8500000000004,143.44262295081967,132.98494983277592
22191,IVORY DINER WALL CLOCK,13271.9,1629,475,282,350.0,2703.8500000000004,21.485573971761816,20.372742410657104
22191,IVORY WALL CLOCK,459.0,60,1,1,350.0,2703.8500000000004,583.3333333333333,589.0740740740741
22192,BLUE DINER WALL CLOCK,11358.78,1373,511,260,31.0,252.45,2.2578295702840494,2.222509811793168
22193,RED DINER WALL CLOCK,14527.09,1775,554,265,39.0,319.6,2.1971830985915495,2.200027672438183
22193,RED WALL CLOCK,459.0,60,1,1,39.0,319.6,65.0,69.62962962962963
22194,BLACK DINER WALL CLOCK,2918.05,353,142,100,6.0,51.0,1.69971671388102,1.747742499271774
22195,HEART MEASURING SPOONS LARGE,138.6,84,5,4,19.0,28.349999999999998,22.61904761904762,20.454545454545453
22195,LARGE HEART MEASURING SPOONS,7357.47,4519,515,321,19.0,28.349999999999998,0.42044700154901526,0.38532267205982484
22196,HEART MEASURING SPOONS SMALL,10.2,12,1,1,45.0,36.040000000000006,375.0,353.3333333333334
22196,SMALL HEART MEASURING SPOONS,4850.5,5773,564,303,45.0,36.040000000000006,0.7794907327212888,0.7430161838985673
22197,POPCORN HOLDER,23417.51,30919,632,295,804.0,616.5799999999999,2.600342831268799,2.6329870255206465
22197,"POPCORN HOLDER , SMALL",2344.2999999999997,3070,81,66,804.0,616.5799999999999,26.188925081433222,26.301241308706224
22197,SMALL POPCORN HOLDER,32505.93,42955,1039,426,804.0,616.5799999999999,1.871726225119311,1.8968231335021024
22198,LARGE POPCORN HOLDER,9006.2,5700,411,212,214.0,347.29999999999995,3.754385964912281,3.8562323732539796
22198,"POPCORN HOLDER , LARGE",1524.5,954,67,52,214.0,347.29999999999995,22.431865828092242,22.781239750737946
22199,FRYING PAN RED POLKADOT,4447.21,1153,142,90,283.0,1066.75,24.544666088464876,23.986949120909514
22199,FRYING PAN RED RETROSPOT,1834.5,508,131,95,283.0,1066.75,55.70866141732284,58.14935949850095
22200,FRYING PAN PINK POLKADOT,4577.29,1149,228,119,11.0,44.25,0.9573542210617928,0.9667292218758261
22200,FRYING PAN PINK RETROSPOT,25.5,6,2,2,11.0,44.25,183.33333333333331,173.52941176470588
22201,FRYING PAN BLUE POLKADOT,1569.0,408,104,75,2.0,8.5,0.49019607843137253,0.5417463352453792
22201,FRYING PAN BLUE RETROSPOT,12.75,3,2,2,2.0,8.5,66.66666666666666,66.66666666666666
22202,MILK PAN PINK POLKADOT,1003.38,286,40,36,31.0,116.25,10.839160839160838,11.58583986126891
22202,MILK PAN PINK RETROSPOT,2385.7200000000003,660,116,67,31.0,116.25,4.696969696969696,4.8727428197776765
22203,MILK PAN RED RETROSPOT,4386.64,1227,270,166,15.0,56.25,1.2224938875305624,1.2823026279795013
22204,MILK PAN BLUE POLKADOT,403.75,123,41,33,14.0,52.5,11.38211382113821,13.003095975232199
22204,MILK PAN BLUE RETROSPOT,1035.66,290,56,42,14.0,52.5,4.827586206896552,5.069231214877469
22207,FRYING PAN UNION FLAG,11283.86,2858,324,189,85.0,324.75,2.974107767669699,2.8780045126401776
22208,WOOD STAMP SET THANK YOU,2525.87,2082,311,237,25.0,31.41,1.2007684918347743,1.243531931572092
22209,WOOD STAMP SET HAPPY BIRTHDAY,1524.82,1263,193,159,28.0,36.36,2.2169437846397466,2.384543749426162
22210,WOOD STAMP SET BEST WISHES,1707.56,1461,226,179,15.0,24.75,1.0266940451745379,1.4494366230176392
22211,WOOD STAMP SET FLOWERS,1625.28,1281,202,161,49.0,71.25,3.825136612021858,4.38386001181335
22212,FOUR HOOK  WHITE LOVEBIRDS,7412.31,3709,608,323,40.0,83.99999999999999,1.0784578053383662,1.1332499585149567
22214,CANDLE PLATE LACE WHITE,1069.3,462,52,43,0.0,0.0,0.0,0.0
22215,CAKE STAND WHITE TWO TIER LACE,8007.3,1029,319,245,62.0,510.0,6.025267249757046,6.369188115844292
22216,T-LIGHT HOLDER WHITE LACE,775.5699999999999,1069,57,48,3.0,2.55,0.2806361085126286,0.3287904380004384
22217,T-LIGHT HOLDER HANGING LACE,2336.02,2176,172,152,56.0,70.0,2.5735294117647056,2.996549687074597
22218,CAKE STAND LACE WHITE,4406.75,1113,183,143,65.0,250.75,5.840071877807727,5.690134452828048
22219,LOVEBIRD HANGING DECORATION WHITE,7009.55,8375,726,384,123.0,93.89,1.4686567164179103,1.339458310447889
22220,CAKE STAND LOVEBIRD 2 TIER WHITE,6230.049999999999,711,244,190,51.0,485.7,7.172995780590717,7.796085103650855
22221,CAKE STAND LOVEBIRD 2 TIER PINK,6339.0,884,138,108,12.0,119.39999999999999,1.3574660633484164,1.883577851396119
22222,CAKE PLATE LOVEBIRD WHITE,4512.45,1219,297,203,5.0,24.75,0.41017227235438886,0.5484825316624007
22223,CAKE PLATE LOVEBIRD PINK,2060.25,559,125,89,1.0,4.95,0.17889087656529518,0.24026210411357846
22224,WHITE LOVEBIRD LANTERN,6016.950000000001,2105,304,234,22.0,64.9,1.0451306413301662,1.0786195663916103
22227,"DECORATION, HANGING HEART+MIRROR",1688.0,2608,168,113,33.0,21.45,1.2653374233128833,1.2707345971563981
22227,HANGING HEART MIRROR DECORATION,1691.55,2607,213,109,33.0,21.45,1.2658227848101267,1.2680677485146759
22228,BUNNY WOODEN PAINTED WITH BIRD,1129.4099999999999,1477,175,148,35.0,29.749999999999996,2.3696682464454977,2.6341186991438006
22229,BUNNY WOODEN PAINTED WITH FLOWER,644.52,860,114,101,52.0,44.2,6.046511627906977,6.857816669769752
22230,JIGSAW TREE WITH WATERING CAN,731.02,1366,123,96,45.0,38.18,3.294289897510981,5.222839320401631
22231,JIGSAW TREE WITH BIRDHOUSE,2340.58,1948,220,166,107.0,150.14999999999998,5.492813141683778,6.415076604944073
22232,3 PIECE JIGSAW TOADSTOOLS,26.4,16,2,2,74.0,71.22,462.5,269.77272727272725
22232,JIGSAW TOADSTOOLS 3 PIECE,1120.6299999999999,1003,112,94,74.0,71.22,7.377866400797608,6.355353684980771
22233,JIGSAW RABBIT AND BIRDHOUSE,1077.35,881,127,112,62.0,101.24000000000001,7.037457434733257,9.397131851301808
22236,CAKE STAND 3 TIER MAGIC GARDEN,12951.9,1074,391,251,95.0,1121.25,8.845437616387338,8.657031014754592
22241,"GARLAND , WOODEN  "" HAPPY EASTER""",128.75,103,9,9,18.0,22.31,17.475728155339805,17.32815533980582
22241,GARLAND WOODEN HAPPY EASTER,4354.31,3703,326,234,18.0,22.31,0.4860923575479341,0.5123659087203253
22242,5 HOOK HANGER MAGIC TOADSTOOL,2707.05,1757,96,77,57.0,94.05,3.2441661923733633,3.474261650135756
22242,"HOOK, 5 HANGER , MAGIC TOADSTOOL",4560.3,2902,209,141,57.0,94.05,1.9641626464507238,2.0623643181369644
22243,5 HOOK HANGER RED MAGIC TOADSTOOL,6757.95,4471,181,111,86.0,141.90000000000003,1.9235070454037126,2.0997491842940543
22243,"HOOK, 5 HANGER ,MAGIC TOADSTOOL RED",4718.849999999999,3081,140,98,86.0,141.90000000000003,2.7913015254787408,3.007088591500049
22244,3 HOOK HANGER MAGIC GARDEN,4672.049999999999,2623,140,89,60.0,117.00000000000001,2.2874571101791843,2.504254021254054
22244,"HOOK, 3 HANGER ,MAGIC GARDEN",3533.2499999999995,1919,141,106,60.0,117.00000000000001,3.1266284523189163,3.3113988537465513
22245,"HOOK, 1 HANGER ,MAGIC GARDEN",3563.5499999999997,4371,273,166,31.0,26.35,0.7092198581560284,0.7394311851945392
22246,"GARLAND, MAGIC GARDEN 1.8M",1146.3,610,68,57,12.0,23.4,1.9672131147540985,2.04135043182413
22246,MAGIC GARDEN FELT GARLAND,539.5799999999999,270,37,32,12.0,23.4,4.444444444444445,4.336706327143334
22247,BUNNY DECORATION MAGIC GARDEN,792.0699999999999,971,102,86,1.0,0.75,0.10298661174047373,0.09468860075498378
22248,DECORATION  PINK CHICK MAGIC GARDEN,648.73,773,85,77,21.0,17.85,2.716688227684347,2.751529912290167
22249,DECORATION WHITE CHICK MAGIC GARDEN,1080.71,1291,142,126,4.0,3.4,0.3098373353989156,0.3146079891922902
22250,DECORATION  BUTTERFLY  MAGIC GARDEN,836.18,1018,109,98,4.0,3.4,0.3929273084479371,0.40661101676672484
22251,BIRDHOUSE DECORATION MAGIC GARDEN,1906.69,1605,184,141,19.0,23.75,1.1838006230529596,1.245614127099843
22252,BIRDCAGE DECORATION MAGIC GARDEN,53.55,21,3,3,13.0,16.25,61.904761904761905,30.345471521942113
22252,BIRDCAGE DECORATION TEALIGHT HOLDER,1114.51,929,109,83,13.0,16.25,1.3993541442411195,1.4580398560802506
22253,6 CROCHET STRAWBERRIES,1096.39,937,69,62,0.0,0.0,0.0,0.0
22254,FELT TOADSTOOL LARGE,1581.02,1294,112,95,72.0,90.0,5.564142194744977,5.692527608758902
22255,FELT TOADSTOOL  SMALL,848.3,998,87,73,45.0,38.25,4.509018036072145,4.509018036072145
22256,FELT FARM ANIMAL CHICKEN,1025.58,846,83,78,12.0,15.0,1.4184397163120568,1.4625870239279237
22257,FELT FARM ANIMAL SHEEP,243.14,322,25,23,12.0,15.0,3.7267080745341614,6.169285185489842
22258,FELT FARM ANIMAL RABBIT,1000.77,1113,71,69,55.0,68.75,4.941599281221923,6.869710323051251
22259,FELT FARM ANIMAL HEN,358.46,478,33,31,3.0,3.75,0.6276150627615062,1.0461418289348883
22260,FELT EGG COSY BLUE RABBIT,973.0699999999999,1187,108,85,16.0,13.6,1.3479359730412805,1.3976384021704502
22261,FELT EGG COSY WHITE RABBIT,1412.57,1753,150,126,4.0,3.4,0.22818026240730174,0.2406960363026257
22262,FELT EGG COSY CHICKEN,1477.02,1734,185,135,17.0,14.45,0.9803921568627451,0.9783212143369758
22263,FELT EGG COSY LADYBIRD,484.34,722,43,34,49.0,32.34,6.786703601108034,6.677127637609945
22264,FELT FARM ANIMAL WHITE BUNNY,865.7099999999999,1803,88,80,0.0,0.0,0.0,0.0
22265,EASTER DECORATION NATURAL CHICK,1129.65,1781,134,107,0.0,0.0,0.0,0.0
22266,EASTER DECORATION HANGING BUNNY,958.3,2476,123,101,7.0,4.55,0.28271405492730206,0.4747991234477721
22267,EASTER DECORATION EGG BUNNY,1255.43,1457,105,91,3.0,3.75,0.20590253946465342,0.2987024366153429
22268,DECORATION SITTING BUNNY,257.60999999999996,1335,41,32,53.0,19.31,3.9700374531835205,7.495827025348395
22268,EASTER DECORATION SITTING BUNNY,817.9399999999999,1010,110,89,53.0,19.31,5.247524752475248,2.360808861285669
22269,EGG CUP NATURAL CHICKEN,1194.64,1400,149,107,25.0,31.25,1.7857142857142856,2.6158508002410765
22270,HAPPY EASTER HANGING DECORATION,2314.41,631,129,104,26.0,96.78,4.120443740095087,4.181627282979248
22271,FELTCRAFT DOLL ROSIE,13244.460000000001,4744,691,400,304.0,839.2,6.408094435075886,6.336234168852487
22272,FELTCRAFT DOLL MARIA,3684.9100000000003,1343,276,207,1.0,2.95,0.07446016381236038,0.0800562293244611
22273,FELTCRAFT DOLL MOLLY,19332.93,7203,701,423,1464.0,3562.7999999999997,20.324864639733445,18.42866032205154
22274,FELTCRAFT DOLL EMILY,10227.310000000001,3675,578,344,74.0,199.10000000000002,2.0136054421768708,1.9467484607389431
22275,WEEKEND BAG VINTAGE ROSE PAISLEY,7315.950000000001,902,280,168,5.0,42.5,0.5543237250554324,0.5809225049378413
22276,WASH BAG VINTAGE ROSE PAISLEY,4372.5,1780,303,213,17.0,42.900000000000006,0.9550561797752809,0.9811320754716981
22277,COSMETIC BAG VINTAGE ROSE PAISLEY,2633.42,1303,189,147,2.0,4.2,0.15349194167306215,0.15948842190003876
22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,3899.05,799,239,164,21.0,117.32,2.6282853566958697,3.008938074659212
22279,POCKET BAG BLUE PAISLEY RED SPOT,1636.86,1073,121,108,37.0,46.25,3.4482758620689653,2.8255318109062477
22280,POCKET BAG PINK PAISELY BROWN SPOT,943.03,579,87,79,0.0,0.0,0.0,0.0
22281,EASTER TREE YELLOW BIRDS,2192.25,423,98,83,16.0,95.2,3.7825059101654848,4.342570418519786
22282,12 EGG HOUSE PAINTED WOOD,5176.67,475,143,92,2.0,25.5,0.42105263157894735,0.49259466027388266
22283,6 EGG HOUSE PAINTED WOOD,6881.6900000000005,923,297,196,18.0,143.10000000000002,1.9501625135427951,2.079431069984263
22284,HEN HOUSE DECORATION,3665.25,2341,233,157,26.0,42.9,1.1106364801366937,1.170452220175977
22285,"DECORATION HEN ON NEST, HANGING",2718.4500000000003,1837,125,105,12.0,19.8,0.6532389765922699,0.7283562324118523
22285,HANGING HEN ON NEST DECORATION,1310.1,794,87,72,12.0,19.8,1.5113350125944585,1.5113350125944587
22286,"DECORATION , WOBBLY RABBIT , METAL",1561.5,1066,99,88,0.0,0.0,0.0,0.0
22286,DECORATION WOBBLY RABBIT METAL,375.57,753,45,35,0.0,0.0,0.0,0.0
22287,"DECORATION , WOBBLY CHICKEN, METAL",1061.55,763,60,58,12.0,4.68,1.5727391874180863,0.44086477320898687
22287,DECORATION WOBBLY CHICKEN,256.11,521,29,25,12.0,4.68,2.3032629558541267,1.8273398149232751
22288,"DECORATION , HANGING METAL RABBIT",851.25,813,47,45,0.0,0.0,0.0,0.0
22288,HANGING METAL RABBIT DECORATION,565.0,452,39,37,0.0,0.0,0.0,0.0
22289,"DECORATION , HANGING METAL CHICKEN",586.25,601,30,26,0.0,0.0,0.0,0.0
22289,HANGING METAL CHICKEN DECORATION,152.5,122,19,19,0.0,0.0,0.0,0.0
22290,STANDING METAL RABBIT WITH EGG,1168.2,657,68,60,1.0,2.1,0.15220700152207,0.17976373908577298
22291,HANGING CHICK CREAM DECORATION,1766.1,1218,91,73,48.0,69.6,3.9408866995073892,3.9408866995073892
22291,"SPRING DEC , HANGING CHICK CREAM",2419.2,1872,118,76,48.0,69.6,2.564102564102564,2.876984126984127
22292,HANGING CHICK  YELLOW DECORATION,1520.0,1088,89,77,24.0,34.8,2.2058823529411766,2.289473684210526
22292,"SPRING DEC , HANGING CHICK  YELLOW",2009.8999999999999,1550,92,80,24.0,34.8,1.5483870967741935,1.7314294243494701
22293,HANGING CHICK GREEN DECORATION,1186.1,818,83,64,24.0,34.8,2.93398533007335,2.93398533007335
22293,"SPRING DEC , HANGING CHICK  GREEN",1396.1499999999999,1087,71,64,24.0,34.8,2.2079116835326587,2.4925688500519287
22294,HEART FILIGREE DOVE  SMALL,19686.6,16260,707,414,107.0,133.75,0.6580565805658056,0.679396137474221
22295,HEART FILIGREE DOVE LARGE,13184.07,8159,620,381,48.0,79.2,0.5883073906115945,0.6007249658110129
22296,HEART IVORY TRELLIS LARGE,15218.08,9416,739,428,8.0,13.200000000000001,0.08496176720475786,0.08673893158663905
22297,HEART IVORY TRELLIS SMALL,15836.59,12939,646,391,275.0,343.75,2.125357446479635,2.1706061721620626
22299,PIG KEYRING WITH LIGHT & SOUND,4147.69,3795,128,103,57.0,71.25,1.5019762845849802,1.717823656059156
22300,COFFEE MUG DOG + BALL DESIGN,9021.390000000001,3923,411,254,63.0,160.65000000000003,1.6059138414478715,1.780767708745548
22301,COFFEE MUG CAT + BIRD DESIGN,10831.29,4733,466,273,76.0,192.00000000000003,1.6057468835833508,1.7726420398678273
22302,COFFEE MUG PEARS  DESIGN,10043.41,4808,352,212,37.0,94.34999999999998,0.7695507487520798,0.9394219692315656
22303,COFFEE MUG APPLES DESIGN,12179.95,5310,480,266,139.0,336.45000000000005,2.6177024482109226,2.762326610536168
22304,COFFEE MUG BLUE PAISLEY DESIGN,4455.110000000001,2330,142,98,18.0,44.55,0.7725321888412017,0.9999753092516233
22305,COFFEE MUG PINK PAISLEY DESIGN,4559.8,2230,126,87,11.0,28.05,0.49327354260089684,0.6151585595859467
22306,SILVER MUG BONE CHINA TREE OF LIFE,2157.17,1578,148,125,17.0,28.699999999999996,1.0773130544993663,1.3304468354371697
22307,GOLD MUG BONE CHINA TREE OF LIFE,1640.4099999999999,1153,101,87,41.0,49.800000000000004,3.5559410234171724,3.0358264092513463
22308,TEA COSY BLUE STRIPE,1273.39,515,98,75,26.0,66.3,5.048543689320388,5.206574576524081
22309,TEA COSY RED  STRIPE,2850.93,1208,169,117,26.0,66.3,2.152317880794702,2.3255569235302165
22310,IVORY KNITTED MUG COSY,1477.59,943,82,50,13.0,21.25,1.378579003181336,1.4381526675194065
22310,KNITTED MUG COSY IVORY COLOUR,821.7,546,28,20,13.0,21.25,2.380952380952381,2.586101983692345
22311,OFFICE MUG WARMER BLACK+SILVER,5576.95,1937,190,120,10.0,33.50000000000001,0.5162622612287042,0.6006867553053193
22312,OFFICE MUG WARMER POLKADOT,3186.7900000000004,995,188,104,27.0,81.65000000000002,2.7135678391959797,2.5621393314275496
22313,OFFICE MUG WARMER PINK,2899.54,952,106,74,252.0,647.4,26.47058823529412,22.32767956296516
22314,OFFICE MUG WARMER CHOC+BLUE,3315.5400000000004,1020,180,101,4.0,15.8,0.39215686274509803,0.47654379075505043
22315,200 RED + WHITE BENDY STRAWS,2325.86,1930,296,191,5.0,6.25,0.2590673575129534,0.2687178076066487
22316,200 BENDY SKULL STRAWS,1370.4,1224,95,62,1.0,1.25,0.08169934640522876,0.09121424401634558
22317,FIVE CATS HANGING DECORATION,1324.0200000000002,450,96,83,0.0,0.0,0.0,0.0
22318,FIVE HEART HANGING DECORATION,4281.150000000001,1461,286,204,20.0,59.000000000000014,1.3689253935660506,1.3781343797811338
22319,HAIRCLIPS FORTIES FABRIC ASSORTED,1635.01,2957,163,141,77.0,50.05,2.603990530943524,3.061143356921364
22320,BIRDS MOBILE VINTAGE DESIGN,3390.46,578,169,130,23.0,136.85,3.9792387543252596,4.036325454363125
22321,BIRD DECORATION RED RETROSPOT,903.53,1085,73,58,1.0,0.85,0.09216589861751152,0.09407545958628934
22321,BIRD DECORATION RED SPOT,966.5899999999999,1139,84,67,1.0,0.85,0.08779631255487269,0.08793800887656608
22322,BIRD DECORATION GREEN  SPOT,487.9,574,47,42,15.0,12.75,2.6132404181184667,2.6132404181184667
22322,BIRD DECORATION GREEN POLKADOT,413.09999999999997,486,45,37,15.0,12.75,3.0864197530864197,3.08641975308642
22323,BAG FOR CHILDREN VINTAGE PINK,408.0,96,1,1,12.0,23.4,12.5,5.735294117647059
22323,PINK POLKADOT KIDS BAG,975.9,474,72,57,12.0,23.4,2.5316455696202533,2.3977866584691054
22324,BAG FOR CHILDREN VINTAGE BLUE,408.0,96,1,1,8.0,15.6,8.333333333333332,3.8235294117647056
22324,BLUE POLKADOT KIDS BAG,906.81,447,66,52,8.0,15.6,1.7897091722595078,1.7203162735302875
22325,MOBILE VINTAGE HEARTS,2137.35,439,155,129,48.0,237.60000000000002,10.933940774487471,11.116569583830445
22326,"ROUND SNACK BOXES ,SET4, WOODLAND",194.70000000000002,66,3,3,57.0,168.15,86.36363636363636,86.36363636363636
22326,ROUND SNACK BOXES SET OF4 WOODLAND,40219.82,14630,1144,439,57.0,168.15,0.38961038961038963,0.41807745534415625
22327,ROUND SNACK BOXES SET OF 4 SKULLS,7440.6,2628,464,256,22.0,64.5,0.837138508371385,0.8668655753568261
22328,"ROUND SNACK BOXES ,SET 4, FRUITS",247.8,84,5,5,699.0,1812.45,832.1428571428571,731.4164648910412
22328,ROUND SNACK BOXES SET OF 4 FRUITS,33670.240000000005,12356,985,400,699.0,1812.45,5.657170605373907,5.38294351332215
22329,ROUND CONTAINER SET OF 5 RETROSPOT,7408.75,4755,418,259,29.0,47.85,0.6098843322818086,0.6458579382486925
22329,ROUND FOOD CONTAINER S/5 RETROSPOT,59.400000000000006,36,3,3,29.0,47.85,80.55555555555556,80.55555555555554
22330,72 ROUND PINK DOILIES,166.75,115,15,15,12.0,17.4,10.434782608695652,10.434782608695652
22331,WOODLAND PARTY BAG + STICKER SET,5456.36,3460,345,225,28.0,46.19999999999999,0.8092485549132947,0.846718325037204
22332,SKULLS PARTY BAG + STICKER SET,6264.049999999999,4065,334,233,458.0,669.3,11.266912669126691,10.68478061318157
22333,RETRO SPORT PARTY BAG + STICKER SET,5122.15,3339,218,159,1326.0,1947.9,39.71248876909254,38.02895268588386
22333,RETRO SPOT PARTY BAG + STICKER SET,1395.45,933,31,30,1326.0,1947.9,142.12218649517686,139.58937976996668
22333,RETROSPOT PARTY BAG + STICKER SET,8497.18,5526,348,210,1326.0,1947.9,23.995656894679694,22.924075987562933
22334,DINOSAUR PARTY BAG + STICKER SET,3460.24,2196,246,180,19.0,31.349999999999998,0.8652094717668488,0.9060065197789748
22335,HEART DECORATION PAINTED ZINC,4895.1,8034,336,242,495.0,292.95000000000005,6.161314413741598,5.9845559845559855
22336,DOVE DECORATION PAINTED ZINC,2014.76,4442,150,136,23.0,14.95,0.5177847816298964,0.7420238638845321
22337,ANGEL DECORATION PAINTED ZINC,1292.05,2165,82,67,0.0,0.0,0.0,0.0
